Start date,Subject,Location
03/26/23,静岡ブルーレヴズ v 三菱重⼯相模原ダイナボアーズ,静岡県内
03/26/23,グリーンロケッツ東葛 v 東京サンゴリアス,柏の葉
03/26/23,コベルコ神⼾スティーラーズ v クボタスピアーズ船橋・東京ベイ,花園
04/07/23,東京サンゴリアス v コベルコ神⼾スティーラーズ,東京都内
04/08/23,静岡ブルーレヴズ v 東芝ブレイブルーパス東京,静岡県内
04/08/23,クボタスピアーズ船橋・東京ベイ v 花園近鉄ライナーズ,東京都内
04/08/23,トヨタヴェルブリッツ v 三菱重⼯相模原ダイナボアーズ,⻑良川
04/08/23,埼⽟ワイルドナイツ v ブラックラムズ東京,埼⽟県内
04/09/23,グリーンロケッツ東葛 v 横浜キヤノンイーグルス,千葉県内
04/14/23,東芝ブレイブルーパス東京 v 三菱重⼯相模原ダイナボアーズ,東京都内
04/14/23,花園近鉄ライナーズ v コベルコ神⼾スティーラーズ,花園
04/15/23,埼⽟ワイルドナイツ v 静岡ブルーレヴズ,埼⽟県内
04/15/23,横浜キヤノンイーグルス v 東京サンゴリアス,神奈川県内
04/16/23,ブラックラムズ東京 v トヨタヴェルブリッツ,東京都内
04/16/23,グリーンロケッツ東葛 v クボタスピアーズ船橋・東京ベイ,千葉県内
04/21/23,東芝ブレイブルーパス東京 v 埼⽟ワイルドナイツ,東京都内
04/22/23,三菱重⼯相模原ダイナボアーズ v ブラックラムズ東京,神奈川県内
04/22/23,クボタスピアーズ船橋・東京ベイ v 東京サンゴリアス,東京都内
04/22/23,花園近鉄ライナーズ v グリーンロケッツ東葛,花園
04/23/23,コベルコ神⼾スティーラーズ v 横浜キヤノンイーグルス,花園
04/23/23,静岡ブルーレヴズ v トヨタヴェルブリッツ,静岡県内
